PetalLengthCm,split
1.4,-0.9846131404950306
1.7,-0.2313782122305689
1.4,-0.5223265871849129
1.5,1.532710088605847
1.4,0.6790879288380334
1.5,-0.1918887236332407
1.6,-0.7714487519630457
1.4,-0.7014605966548274
1.1,1.3359082128005595
1.5,-0.9163159775400546
1.3,0.6252690798585988
1.5,-1.2848791960865402
1.7,-0.725991344690903
1.5,-0.578806705589217
1.7,0.8183959201777713
1.6,0.4186886191459978
1.6,-0.8299568562122658
1.6,-1.3966289034361483
1.6,0.7110544405970841
1.5,-0.2681579862030614
1.5,-0.2989455031681721
1.4,-0.6502083605786299
1.3,-2.135145929014835
1.5,-0.4657402061719473
1.3,0.4866888422641968
1.5,0.14702815411285
1.3,-0.6192469550737163
1.3,1.1724196606000217
1.9,-1.4142542268822027
1.4,0.5988526177167073
1.6,-0.3415011654858825
1.4,-1.7651590699239843
1.5,-0.472105989169167
4.9,-1.315281340956062
4.0,0.6937435211729267
4.5,-1.1634533646854723
4.6,-0.8470671267427377
3.9,-0.9513727220564512
3.5,-0.7393479989973478
4.2,-1.2301918764085054
4.0,1.786352408174667
4.7,-0.6580766268651084
3.6,0.2411651875592065
4.5,-0.345587276450486
4.1,-0.7637704351120713
4.5,0.7691088849807769
3.9,0.8593983263743754
4.8,0.0051150368559491
4.9,0.8177448468949375
4.7,-0.4086765663478742
4.3,0.1722934423010349
4.4,1.2776329967485
4.8,-0.9080661660553137
5.0,0.0323613152535258
4.5,-0.7246568055170931
3.5,0.1931753629115328
3.8,-0.1012874991968085
3.7,0.2990348200806618
3.9,0.2672157259357997
4.5,1.385255382391311
4.7,0.9566544871418488
4.4,0.4971472696132499
4.1,-0.0251231864480538
4.6,-0.5209681675242234
4.2,0.1305485908159574
4.2,1.3752907739903952
4.2,-0.3702444856824186
4.3,2.678553338333346
3.0,-0.7101894064796384
4.1,-0.0587448124836267
6.0,0.3403978996019478
5.1,0.8249381284801096
5.6,-1.8958828109445356
5.8,0.1040481803127211
6.6,-0.0420543272857105
4.5,-0.7572043098355742
5.8,-0.4276742185975695
6.1,-0.026127815854025
5.1,-1.0254674327352369
5.5,1.463648264399373
5.0,0.5406621565272348
5.5,0.4989878935854164
6.7,0.1501742010684677
5.0,0.4073822632663688
4.9,-0.5730049437706498
6.7,-1.243380486667661
4.9,1.5432768007365114
5.7,-0.0834410834211712
6.0,1.5857878082069623
4.8,0.5112108770927789
5.6,-0.0436433333136861
5.8,0.2722019786171792
6.1,1.568368884609037
5.1,-0.550952126255519
5.6,-0.7660899128997603
6.1,1.0182188213472432
5.5,0.8146466668193387
4.8,-1.502227272740077
5.6,0.2526202639889062
5.1,0.1756386531618001
5.1,0.0302541429100851
5.9,-1.0375452926033606
5.7,0.6943849933148901
5.2,0.519469715133144
5.0,2.172972179013539
5.2,-0.0500826477678916
5.4,0.2272329974212496
5.1,1.1848818691160343
